subject_id,Gelman-Rubin
a(0-Back.Affective),1.0001808570655468
a(0-Back.Cognitive),1.0021035416444397
a(2-Back.Affective),1.000922998083885
a(2-Back.Cognitive),1.000722813998353
a_std,1.0021877336777412
a_subj(0-Back.Affective).11098,1.0004535291751007
a_subj(0-Back.Affective).11684,1.0000007195854004
a_subj(0-Back.Affective).11692,1.000077752441313
a_subj(0-Back.Affective).11694,1.00014957938833
a_subj(0-Back.Affective).11702,1.0003226663219154
a_subj(0-Back.Affective).11704,1.0004642663822934
a_subj(0-Back.Affective).11709,1.0007256002010438
a_subj(0-Back.Affective).11710,1.0002643523128139
a_subj(0-Back.Affective).11711,0.9999944795717598
a_subj(0-Back.Affective).11712,1.0005433991415913
a_subj(0-Back.Affective).11713,0.9999686901619814
a_subj(0-Back.Affective).11714,1.0001261231192036
a_subj(0-Back.Affective).11716,1.0004069937806899
a_subj(0-Back.Affective).11717,1.0001355530738394
a_subj(0-Back.Affective).11718,1.0000246384574782
a_subj(0-Back.Affective).11720,1.0000735166700063
a_subj(0-Back.Affective).11721,0.9999404898983757
a_subj(0-Back.Affective).11722,1.0005383171925717
a_subj(0-Back.Affective).11723,1.0000711235779296
a_subj(0-Back.Affective).11724,1.0000010484471413
a_subj(0-Back.Affective).11725,1.000185949706515
a_subj(0-Back.Affective).11726,1.000204267491466
a_subj(0-Back.Affective).11727,1.0001474750523454
a_subj(0-Back.Affective).11728,1.0001748880746126
a_subj(0-Back.Affective).11729,1.0003118231585013
a_subj(0-Back.Affective).11730,1.0007593762988996
a_subj(0-Back.Affective).11731,0.9999411211013162
a_subj(0-Back.Affective).11732,1.0000559860812561
a_subj(0-Back.Affective).11733,1.0000918620323889
a_subj(0-Back.Affective).11734,1.0000922421023553
a_subj(0-Back.Affective).11735,1.000363349377746
a_subj(0-Back.Affective).11736,1.000102911681146
a_subj(0-Back.Affective).11737,1.0001923342935224
a_subj(0-Back.Affective).11738,1.0000969048916206
a_subj(0-Back.Affective).11740,1.0000970637195052
a_subj(0-Back.Affective).11743,1.0000144736203795
a_subj(0-Back.Affective).11744,0.999986340726751
a_subj(0-Back.Affective).11746,1.0007848302337436
a_subj(0-Back.Affective).11748,1.000090621839769
a_subj(0-Back.Affective).11749,1.0001740074254584
a_subj(0-Back.Affective).11750,1.000108373654682
a_subj(0-Back.Affective).11751,1.0006300065966647
a_subj(0-Back.Affective).11754,1.0002744379317001
a_subj(0-Back.Affective).11755,1.0000552038218362
a_subj(0-Back.Affective).11758,1.000426658135277
