subject_id,mean,std,2.5q,25q,50q,75q,97.5q,mc err,Gelman-Rubin
t_subj(0-Back.Affective).11978,0.396839023842162,0.027986005757556377,0.3352664961677084,0.3811025613029806,0.40007613066503583,0.41674456374432206,0.4428227961867299,0.0007146433843834337,1.0005108850407092
t_subj(0-Back.Affective).11980,0.3258060498668271,0.031003527474167514,0.25535588775162565,0.3070137323459149,0.32863154982593845,0.3473745303465969,0.3788973812871487,0.0008162266407875677,1.0001691439030316
t_subj(0-Back.Affective).11981,0.3779703221531915,0.02548836192335619,0.31922498671619126,0.3634639508230595,0.38126325907097836,0.39605559589326633,0.4170211927512914,0.0004384522788004561,1.0000770538719723
t_subj(0-Back.Affective).11982,0.3560257499332309,0.02004203321219168,0.310993367739131,0.3437478869042486,0.3582988794985293,0.37046632438906607,0.38884478219929786,0.0005625426084466085,1.000141284719038
t_subj(0-Back.Affective).11983,0.30980311179139125,0.029285692265804554,0.24728630986828265,0.29142023247323434,0.31266856582244007,0.3309552344323774,0.358115326289116,0.0006022205403445534,1.0001204481142705
t_subj(0-Back.Affective).11984,0.28560772668483864,0.02579849633847657,0.22938635751140296,0.2690883987598194,0.2878448721720856,0.3044270684081627,0.32948463264681516,0.0006472480469778611,1.0006816317939213
t_subj(0-Back.Affective).11986,0.40229368194079673,0.02623452230994438,0.3427163453663663,0.3867283702867579,0.4052586494386389,0.4211445748744214,0.4456428879101951,0.0007896954986025235,1.0005476710566663
t_subj(0-Back.Affective).11988,0.355820683877349,0.02533766130974488,0.2976103809127886,0.3402387973447409,0.358722060312984,0.37413492927483244,0.39645716134631936,0.0006057925276236862,1.0000077195074348
t_subj(0-Back.Affective).11990,0.32791401946534765,0.02071529957229408,0.2798081379679055,0.31611118842838043,0.3305737322453034,0.342799610328537,0.3606339095784464,0.0004839268797233104,0.9999759394487985
t_subj(0-Back.Affective).11992,0.1548906124867179,0.019829808670490803,0.11198347654958485,0.14205591206447946,0.156347680082463,0.16910698708343777,0.18928000798887165,0.0004845260443691382,1.0002339380683019
t_subj(0-Back.Affective).11994,0.19152166771329285,0.027149429677709957,0.14027473933772902,0.17476125621720529,0.19099481039916721,0.20608831598098437,0.2604456168655469,0.0005821653715263117,1.000403085735463
t_subj(0-Back.Affective).11998,0.2860657206555455,0.027671373499487763,0.22568618098315898,0.2690177734325456,0.28834766036499426,0.3060903167880418,0.33253610270911216,0.0006704211324439998,1.0003940148344523
t_subj(0-Back.Affective).12002,0.29092854958569186,0.026910917887289828,0.23292858136899483,0.2740254520801352,0.2935014012989513,0.3104209974797244,0.33746999972951347,0.0006581274363352947,1.0000221156497773
t_subj(0-Back.Affective).12004,0.31071712934751505,0.024266720713891556,0.2571879264717732,0.2956450683913443,0.31269888588510036,0.3284225745438684,0.3506817300830753,0.0006129164874423235,1.0007486035332545
t_subj(0-Back.Affective).12008,0.2612576912754611,0.027628048181615624,0.20297993619084237,0.24442339235791874,0.2636379852821926,0.28137558971751964,0.3085740231031118,0.0005876462433432382,1.000726604110431
t_subj(0-Back.Affective).12015,0.35942392994922817,0.07234778211687784,0.2525596199269205,0.31395464019772723,0.34418333753199215,0.38879163405950434,0.554083768813742,0.0016782172141480887,1.0000152249792142
t_subj(0-Back.Affective).12036,0.2582030881056468,0.05513935612050858,0.17141615383350395,0.22438423047554645,0.25048955273351936,0.2763738964559401,0.392932487635514,0.0011003294285482955,1.0004884040976918
t_subj(0-Back.Affective).12038,0.39032018861524315,0.027875170539128493,0.32788646765360635,0.3742985532479588,0.39346454057866614,0.4097619808665044,0.43585193555092405,0.0005551084392376503,1.00019840946574
t_subj(0-Back.Affective).12039,0.20371753847725654,0.02255473044406243,0.15428994240436725,0.1901162135018014,0.20608339898621886,0.21984228904514286,0.24073312329395694,0.0004032553008620148,1.0002871048007154
t_subj(0-Back.Affective).12046,0.36635335666593394,0.03955621381674256,0.27859449494235333,0.34177181690946307,0.37094678077664084,0.395327346346762,0.4312698956633061,0.0007077986426007883,1.0000154173898834
t_subj(0-Back.Affective).12054,0.37663356392906844,0.06980048827721973,0.23351538829784133,0.31306197750448506,0.399516804597321,0.4312510747129435,0.46864053667081595,0.002516116328676486,1.0014367383110245
t_subj(0-Back.Affective).12055,0.2902593490110945,0.04722886328134947,0.21013178651389317,0.2529395899278892,0.27828335121555847,0.3348807806253569,0.36958667261130707,0.0017023605298700406,1.0004249730656445
t_subj(0-Back.Affective).12056,0.23864162949365966,0.025612182609389748,0.183049034735846,0.22315846310634363,0.24028081707986837,0.2565364807139095,0.28361916768373097,0.0005742131470994952,1.00016691150147
t_subj(0-Back.Affective).12062,0.33923993465467767,0.03174339248970777,0.24607737992683065,0.32636348375857194,0.3444742454817147,0.36041529384428206,0.3834320112449319,0.0007639090259515659,1.000467717129348
t_subj(0-Back.Affective).12063,0.32802494457090603,0.027860636744784523,0.26816791262631895,0.31095152706315726,0.3292027339242502,0.34615436959204104,0.38377501065416053,0.0006600425493746159,1.000268025875961
t_subj(0-Back.Affective).12064,0.2367995800785251,0.025695806303984593,0.18117218359628623,0.22086507702339434,0.23849391628637542,0.2545199024188999,0.28163529686561123,0.0005846186365678003,1.0007830168052694
t_subj(0-Back.Affective).12072,0.32650670528416326,0.04664645721214292,0.24502993036363147,0.29564541690654145,0.318428694443915,0.35227744871787436,0.42583803758870375,0.0011479199825671685,1.0001923106166342
t_subj(0-Back.Affective).12079,0.2943699778280956,0.051027877867724385,0.19163969393596486,0.25289299363135437,0.30397819161933654,0.33550457830830926,0.3718383647255403,0.0010570542728306107,1.0002345654963616
t_subj(0-Back.Affective).12081,0.19673816967810065,0.024938223087757064,0.14717916742487372,0.18072031540606323,0.19711870717920255,0.21293729061720973,0.2469010437322075,0.0004708102328598839,1.0001564546801218
t_subj(0-Back.Affective).12087,0.36607841384932877,0.06071772713223038,0.2380980901673635,0.33325769075959993,0.37050084372278363,0.3990931844878312,0.5119866298973599,0.0011472750173026768,1.0003222482953738
t_subj(0-Back.Affective).12088,0.2934223781473438,0.029154377761881723,0.23029163543231815,0.2756335551670313,0.2964407665559389,0.3141486694173622,0.3423753275102363,0.0006566298801786388,1.0002710204326692
t_subj(0-Back.Affective).12089,0.3117928873242208,0.04965236261401251,0.22734722128328666,0.2737588339310964,0.3031558643880801,0.3554419106299203,0.40125851938483487,0.0011612134407308187,1.00015546900514
